"Index","Aantal","Onderdeelnummer","Onderdeelnr. fabrikant","Beschrijving","Klantreferentie","Beschikbaar","Nabestelling","Eenheidsprijs","Totale kostprijs EUR"
"1","10","EG5353CT-ND","TL3305AF260QG","SWITCH TACTILE SPST-NO 0.05A 12V","","10","0","0,16500","1,65"
"2","10","26-CX90B-16PCT-ND","CX90B-16P","CONN RCP USB3.2 TYP C 24P SMD RA","","10","0","1,75100","17,51"
"3","10","1727-BC817DS-QXCT-ND","BC817DS-QX","TRANS 2NPN 45V 500MA 6-TSOP","","10","0","0,20100","2,01"
"4","5","732-3820-1-ND","693072010801","CONN MICRO SD CARD R/A SMD","","5","0","3,00000","15,00"
"5","10","W25Q32JVSSIQ-ND","W25Q32JVSSIQ","IC FLASH 32MBIT SPI/QUAD 8SOIC","","10","0","0,56600","5,66"
"6","10","1727-5675-1-ND","IP4252CZ16-8-TTL,1","FILTER RC(PI) 40 OHMS ESD SMD","","10","0","0,25300","2,53"
"7","5","828-1063-1-ND","BME280","SENSOR PRESSURE HUMIDITY TEMP","","5","0","3,18200","15,91"
"8","5","1965-ESP32-C3-WROOM-02-H4CT-ND","ESP32-C3-WROOM-02-H4","RF TXRX MODULE BT PCB TRACE SMD","","5","0","3,09000","15,45"
"9","10","455-S2B-PH-SM4-TBCT-ND","S2B-PH-SM4-TB","CONN HEADER SMD R/A 2POS 2MM","","10","0","0,36000","3,60"
"10","5","MCP73871T-2CCI/MLCT-ND","MCP73871T-2CCI/ML","IC BATT CHG LI-ION 1CELL 20QFN","","5","0","2,12000","10,60"
"11","10","587-1766-1-ND","FBMJ2125HM330-T","FERRITE BEAD 33 OHM 0805 1LN","","10","0","0,07100","0,71"
"12","5","336-5885-ND","CP2102N-A02-GQFN20","IC USB TO UART BRIDGE QFN20","","5","0","3,64000","18,20"
"13","10","160-1579-1-ND","LTST-C170TBKT","LED BLUE CLEAR SMD","","10","0","0,16700","1,67"
"14","10","160-1415-1-ND","LTST-C170KRKT","LED RED CLEAR SMD","","10","0","0,10100","1,01"
"15","10","160-1179-1-ND","LTST-C170GKT","LED GREEN CLEAR SMD","","10","0","0,09700","0,97"
"16","25","399-8268-1-ND","T491A106K010AT7280","CAP TANT 10UF 10V 10% 1206","","25","0","0,22000","5,50"
"17","10","399-3678-1-ND","T491A105K016AT","CAP TANT 1UF 10% 16V 1206","","10","0","0,21800","2,18"
"18","10","RMCF0805FT22K1CT-ND","RMCF0805FT22K1","RES 22.1K OHM 1% 1/8W 0805","","10","0","0,02200","0,22"
"19","20","541-CRCW080550R0FKTACT-ND","CRCW080550R0FKTA","CRCW0805 50 1% 100 RT1","","20","0","0,09400","1,88"
"20","10","LM1117MPX-3.3/NOPBCT-ND","LM1117MPX-3.3/NOPB","IC REG LIN 3.3V 800MA SOT-223-4","","10","0","0,64200","6,42"
"21","100","RMCF0805FT10K0CT-ND","RMCF0805FT10K0","RES 10K OHM 1% 1/8W 0805","","100","0","0,01060","1,06"
"22","10","RMCF0805FT4K70CT-ND","RMCF0805FT4K70","RES 4.7K OHM 1% 1/8W 0805","","10","0","0,02200","0,22"
"23","10","RNCP0805FTD1K00CT-ND","RNCP0805FTD1K00","RES 1K OHM 1% 1/4W 0805","","10","0","0,01200","0,12"
"24","10","RMCF0805FT47K5CT-ND","RMCF0805FT47K5","RES 47.5K OHM 1% 1/8W 0805","","10","0","0,02200","0,22"
"25","20","RMCF0805FT330KCT-ND","RMCF0805FT330K","RES 330K OHM 1% 1/8W 0805","","20","0","0,02200","0,44"
"26","10","RMCF0805FT1M00CT-ND","RMCF0805FT1M00","RES 1M OHM 1% 1/8W 0805","","10","0","0,02200","0,22"
"27","10","RMCF0805FT5K10CT-ND","RMCF0805FT5K10","RES 5.1K OHM 1% 1/8W 0805","","10","0","0,02200","0,22"
"28","5","5923-0ZCH0110AF2ECT-ND","0ZCH0110AF2E","PTC RESET FUSE","","5","0","0,20600","1,03"
"29","10","399-10128-1-ND","T491A475K025AT","CAP TANT 4.7UF 10% 25V 1206","","10","0","0,23400","2,34"
"30","10","399-C0805C105K4RACTUCT-ND","C0805C105K4RACTU","CAP CER 1UF 16V X7R 0805","","10","0","0,06000","0,60"
"31","10","399-17884-1-ND","C0805C472K5RECAUTO","CAP CER 0805 4.7NF 50V X7R 10%","","10","0","0,12300","1,23"
"32","100","399-C0805C104K4RACAUTOCT-ND","C0805C104K4RACAUTO","CAP CER 0.1UF 16V X7R 0805","","100","0","0,05910","5,91"
"33","10","1727-6186-1-ND","BC817-40,235","TRANS NPN 45V 0.5A TO-236AB","","10","0","0,06200","0,62"